shot_size,replicate,n_patients,llm_auc,extratrees_auc,delta_auc_llm_minus_ml,llm_brier,extratrees_brier,brier_improvement_ml_minus_llm
20,1,57,0.7025,0.6675,0.03500000000000003,0.22202807017543863,0.2300257945152338,0.007997724339795176
20,2,57,0.66375,0.6675,-0.003750000000000031,0.23981052631578959,0.2300257945152338,-0.00978473180055578
20,3,57,0.670625,0.6675,0.0031250000000000444,0.2382958771929825,0.2300257945152338,-0.008270082677748702
20,4,57,0.630625,0.6675,-0.03687499999999999,0.24170526315789478,0.2300257945152338,-0.011679468642660978
20,5,57,0.568125,0.6675,-0.09937499999999999,0.2633315789473684,0.2300257945152338,-0.03330578443213461
20,6,57,0.6075,0.6675,-0.05999999999999994,0.34118596491228065,0.2300257945152338,-0.11116017039704684
20,7,57,0.67875,0.6675,0.011249999999999982,0.24012119298245616,0.2300257945152338,-0.01009539846722235
20,8,57,0.700625,0.6675,0.03312500000000007,0.2770017894736842,0.2300257945152338,-0.046975994958450396
20,9,57,0.495625,0.6675,-0.171875,0.2741140350877193,0.2300257945152338,-0.044088240572485504
20,10,57,0.640625,0.6675,-0.026874999999999982,0.23935966666666664,0.2300257945152338,-0.009333872151432832
20,11,57,0.621875,0.6675,-0.04562500000000003,0.23953684210526324,0.2300257945152338,-0.009511047590029437
20,12,57,0.679375,0.6675,0.011874999999999969,0.23601685964912272,0.2300257945152338,-0.005991065133888918
20,13,57,0.675,0.6675,0.007500000000000062,0.2442491228070176,0.2300257945152338,-0.014223328291783799
20,14,57,0.694375,0.6675,0.026874999999999982,0.2846395263157895,0.2300257945152338,-0.054613731800555676
20,15,57,0.69125,0.6675,0.02375000000000005,0.21928421052631586,0.2300257945152338,0.010741583988917947
20,16,57,0.68375,0.6675,0.016249999999999987,0.2208902807017544,0.2300257945152338,0.009135513813479407
20,17,57,0.628125,0.6675,-0.03937499999999994,0.23965445614035097,0.2300257945152338,-0.009628661625117163
20,18,57,0.6675,0.6675,0.0,0.23953508771929827,0.2300257945152338,-0.009509293204064462
20,19,57,0.654375,0.6675,-0.013124999999999942,0.3095624035087719,0.2300257945152338,-0.0795366089935381
20,20,57,0.68125,0.6675,0.01375000000000004,0.25301754385964914,0.2300257945152338,-0.022991749344415335
