model,repeat,fold,inner_best_AUC,best_params_json,selected_features,selected_effective_df
ElasticNetLogistic,3,4,0.7072314049586776,"{""model__C"": 0.3, ""model__l1_ratio"": 0.5}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ElasticNetLogistic,3,5,0.7148760330578513,"{""model__C"": 0.3, ""model__l1_ratio"": 0.25}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ElasticNetLogistic,4,1,0.7537190082644629,"{""model__C"": 1.0, ""model__l1_ratio"": 0.25}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
ElasticNetLogistic,4,2,0.7549586776859505,"{""model__C"": 0.1, ""model__l1_ratio"": 0.25}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ElasticNetLogistic,4,3,0.787396694214876,"{""model__C"": 0.3, ""model__l1_ratio"": 0.25}",tumorsizeb|log1p_tbil|log1p_ast|bmi,4
ElasticNetLogistic,4,4,0.7702479338842975,"{""model__C"": 0.3, ""model__l1_ratio"": 0.25}",tumorsizeb|log1p_ast|bmi|log1p_wbcb,4
ElasticNetLogistic,4,5,0.6900826446280992,"{""model__C"": 0.1, ""model__l1_ratio"": 0.25}",log1p_tbil|tumorsizeb|alb|log1p_ast,4
ElasticNetLogistic,5,1,0.784504132231405,"{""model__C"": 0.1, ""model__l1_ratio"": 0.25}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ElasticNetLogistic,5,2,0.7737603305785125,"{""model__C"": 0.1, ""model__l1_ratio"": 0.25}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ElasticNetLogistic,5,3,0.7423553719008265,"{""model__C"": 0.1, ""model__l1_ratio"": 0.25}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ElasticNetLogistic,5,4,0.693801652892562,"{""model__C"": 0.3, ""model__l1_ratio"": 0.5}",log1p_tbil|tumorsizeb|bmi|alb,4
ElasticNetLogistic,5,5,0.7520661157024793,"{""model__C"": 0.1, ""model__l1_ratio"": 0.25}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
SVM_RBF,1,1,0.7700413223140496,"{""model__C"": 0.3, ""model__gamma"": 0.1}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
SVM_RBF,1,2,0.7801652892561983,"{""model__C"": 0.1, ""model__gamma"": ""scale""}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
SVM_RBF,1,3,0.8270661157024792,"{""model__C"": 0.3, ""model__gamma"": ""scale""}",tumorsizeb|log1p_ast|log1p_siib|log1p_tbil,4
SVM_RBF,1,4,0.7452479338842974,"{""model__C"": 0.3, ""model__gamma"": 0.1}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
SVM_RBF,1,5,0.7582644628099174,"{""model__C"": 0.1, ""model__gamma"": 0.1}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
SVM_RBF,2,1,0.7506198347107438,"{""model__C"": 3.0, ""model__gamma"": 0.03}",tumorsizeb|log1p_tbil|log1p_ast|log1p_siib,4
SVM_RBF,2,2,0.8252066115702479,"{""model__C"": 0.1, ""model__gamma"": ""scale""}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
SVM_RBF,2,3,0.7785123966942149,"{""model__C"": 0.1, ""model__gamma"": 0.3}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
SVM_RBF,2,4,0.7946280991735537,"{""model__C"": 0.3, ""model__gamma"": 0.3}",tumorsizeb|log1p_ast|log1p_tbil|alb,4
SVM_RBF,2,5,0.8057851239669421,"{""model__C"": 0.3, ""model__gamma"": 0.1}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
SVM_RBF,3,1,0.7991735537190083,"{""model__C"": 0.3, ""model__gamma"": 0.03}",log1p_ast|bmi|log1p_tbil|tumorsizeb,4
SVM_RBF,3,2,0.8181818181818181,"{""model__C"": 0.1, ""model__gamma"": ""scale""}",tumorsizeb|log1p_tbil|log1p_ast|log1p_pt,4
SVM_RBF,3,3,0.812603305785124,"{""model__C"": 0.3, ""model__gamma"": 0.1}",tumorsizeb|bmi|alb|log1p_tbil,4
SVM_RBF,3,4,0.7101239669421489,"{""model__C"": 0.1, ""model__gamma"": 0.3}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
SVM_RBF,3,5,0.7272727272727273,"{""model__C"": 0.1, ""model__gamma"": ""scale""}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
SVM_RBF,4,1,0.7423553719008265,"{""model__C"": 0.1, ""model__gamma"": 0.03}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
SVM_RBF,4,2,0.7950413223140496,"{""model__C"": 1.0, ""model__gamma"": 0.1}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
SVM_RBF,4,3,0.821900826446281,"{""model__C"": 0.1, ""model__gamma"": 0.1}",tumorsizeb|log1p_tbil|log1p_ast|bmi,4
SVM_RBF,4,4,0.762603305785124,"{""model__C"": 0.1, ""model__gamma"": 0.3}",tumorsizeb|log1p_ast|bmi|log1p_wbcb,4
SVM_RBF,4,5,0.7747933884297521,"{""model__C"": 1.0, ""model__gamma"": 0.3}",log1p_tbil|tumorsizeb|alb|log1p_ast,4
SVM_RBF,5,1,0.7977272727272726,"{""model__C"": 0.1, ""model__gamma"": 0.03}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
SVM_RBF,5,2,0.765495867768595,"{""model__C"": 0.1, ""model__gamma"": 0.03}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
SVM_RBF,5,3,0.8068181818181817,"{""model__C"": 0.3, ""model__gamma"": ""scale""}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
SVM_RBF,5,4,0.7621900826446281,"{""model__C"": 0.3, ""model__gamma"": ""scale""}",log1p_tbil|tumorsizeb|bmi|alb,4
SVM_RBF,5,5,0.78099173553719,"{""model__C"": 0.1, ""model__gamma"": 0.1}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
RandomForest,1,1,0.76900826446281,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
RandomForest,1,2,0.7582644628099173,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
RandomForest,1,3,0.7838842975206612,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|log1p_ast|log1p_siib|log1p_tbil,4
RandomForest,1,4,0.681611570247934,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
RandomForest,1,5,0.7272727272727272,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
RandomForest,2,1,0.7361570247933884,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_tbil|log1p_ast|log1p_siib,4
RandomForest,2,2,0.7580578512396694,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RandomForest,2,3,0.6882231404958677,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
RandomForest,2,4,0.7489669421487604,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|log1p_ast|log1p_tbil|alb,4
RandomForest,2,5,0.774793388429752,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
RandomForest,3,1,0.7851239669421488,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",log1p_ast|bmi|log1p_tbil|tumorsizeb,4
RandomForest,3,2,0.7826446280991736,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|log1p_tbil|log1p_ast|log1p_pt,4
RandomForest,3,3,0.7921487603305785,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|bmi|alb|log1p_tbil,4
RandomForest,3,4,0.7497933884297521,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RandomForest,3,5,0.7190082644628099,"{""model__max_depth"": 4, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 4}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RandomForest,4,1,0.759297520661157,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
RandomForest,4,2,0.7516528925619835,"{""model__max_depth"": 2, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 4}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RandomForest,4,3,0.7745867768595042,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|log1p_tbil|log1p_ast|bmi,4
RandomForest,4,4,0.7464876033057852,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|bmi|log1p_wbcb,4
RandomForest,4,5,0.7747933884297521,"{""model__max_depth"": null, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 4}",log1p_tbil|tumorsizeb|alb|log1p_ast,4
RandomForest,5,1,0.8314049586776859,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RandomForest,5,2,0.7526859504132232,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RandomForest,5,3,0.7673553719008265,"{""model__max_depth"": null, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 4}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
RandomForest,5,4,0.7293388429752065,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",log1p_tbil|tumorsizeb|bmi|alb,4
RandomForest,5,5,0.7169421487603306,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
ExtraTrees,1,1,0.7793388429752066,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
ExtraTrees,1,2,0.7667355371900827,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
ExtraTrees,1,3,0.7725206611570248,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|log1p_siib|log1p_tbil,4
ExtraTrees,1,4,0.743595041322314,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
ExtraTrees,1,5,0.7024793388429752,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
ExtraTrees,2,1,0.690495867768595,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_tbil|log1p_ast|log1p_siib,4
ExtraTrees,2,2,0.8225206611570248,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ExtraTrees,2,3,0.6954545454545454,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
ExtraTrees,2,4,0.7539256198347107,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|log1p_ast|log1p_tbil|alb,4
ExtraTrees,2,5,0.7830578512396694,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
ExtraTrees,3,1,0.7681818181818182,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",log1p_ast|bmi|log1p_tbil|tumorsizeb,4
ExtraTrees,3,2,0.8041322314049586,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|log1p_tbil|log1p_ast|log1p_pt,4
ExtraTrees,3,3,0.7805785123966942,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|bmi|alb|log1p_tbil,4
ExtraTrees,3,4,0.7551652892561984,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ExtraTrees,3,5,0.7355371900826446,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ExtraTrees,4,1,0.75,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|bmi|log1p_tbil,4
ExtraTrees,4,2,0.7805785123966942,"{""model__max_depth"": null, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 4}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ExtraTrees,4,3,0.7733471074380165,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|log1p_tbil|log1p_ast|bmi,4
ExtraTrees,4,4,0.756404958677686,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",tumorsizeb|log1p_ast|bmi|log1p_wbcb,4
ExtraTrees,4,5,0.7252066115702479,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",log1p_tbil|tumorsizeb|alb|log1p_ast,4
ExtraTrees,5,1,0.8010330578512397,"{""model__max_depth"": 2, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 4}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ExtraTrees,5,2,0.7270661157024793,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ExtraTrees,5,3,0.7721074380165289,"{""model__max_depth"": null, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 8}",log1p_ast|tumorsizeb|log1p_tbil|bmi,4
ExtraTrees,5,4,0.7128099173553718,"{""model__max_depth"": null, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 4}",log1p_tbil|tumorsizeb|bmi|alb,4
ExtraTrees,5,5,0.756198347107438,"{""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8}",tumorsizeb|log1p_ast|bmi|log1p_tbil,4
HistGradientBoosting,1,1,0.7611570247933883,"{""model__l2_regularization"": 3.0, ""model__learning_rate"": 0.08, ""model__max_leaf_nodes"": 3, ""model__min_samples_leaf"": 15}",tumorsizeb|log1p_ast|log1p_tbil|bmi,4
