repeat,fold,rf_selector_inner_CV_AUC,rf_selector_best_params_json,fold_epv_df_budget,eligible_features,selected_features,selected_effective_df
3,5,0.6761904761904761,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|tacecycles|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_ast|tumorsizeb|log1p_tbil|bmi,4
4,1,0.6936507936507937,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_ast|tumorsizeb|bmi|log1p_tbil,4
4,2,0.7476190476190476,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_ast|tumorsizeb|log1p_tbil|bmi,4
4,3,0.6603174603174603,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,tumorsizeb|log1p_tbil|log1p_ast|bmi,4
4,4,0.7158730158730159,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,tumorsizeb|log1p_ast|bmi|log1p_wbcb,4
4,5,0.608994708994709,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 4}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_tbil|tumorsizeb|alb|log1p_ast,4
5,1,0.7761904761904761,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 4}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_ast|tumorsizeb|log1p_tbil|bmi,4
5,2,0.7380952380952381,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_ast|tumorsizeb|log1p_tbil|bmi,4
5,3,0.6825396825396824,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 8}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_ast|tumorsizeb|log1p_tbil|bmi,4
5,4,0.6063492063492064,"{""max_depth"": 3, ""max_features"": 0.8, ""min_samples_leaf"": 4}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,log1p_tbil|tumorsizeb|bmi|alb,4
5,5,0.6453968253968254,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",4,age|bmi|child_score|tumorsizeb|tumornum_count|log1p_ast|log1p_alt|log1p_tbil|alb|log1p_wbcb|log1p_pt|log1p_afpb|log1p_nlrb|log1p_siib|log1p_crp|gender|bclc|vtt_any|targeted_any|immunotherapy_any,tumorsizeb|log1p_ast|bmi|log1p_tbil,4
