model,mean_repeat_OOF_AUC,sd_repeat_OOF_AUC,min_repeat_OOF_AUC,max_repeat_OOF_AUC,proportion_repeats_AUC_above_0_5,averaged_repeated_OOF_AUC,averaged_repeated_OOF_AUC_95CI_low,averaged_repeated_OOF_AUC_95CI_high,averaged_repeated_OOF_PR_AUC,averaged_repeated_OOF_Brier,averaged_repeated_OOF_Brier_skill,calibration_intercept,calibration_slope,selected_primary_by_development_only,external_AUC,external_AUC_95CI_low,external_AUC_95CI_high,external_PR_AUC,external_Brier,external_Brier_skill,external_results_role,PRIMARY_MODEL_LOCKED_FROM_DEVELOPMENT
ExtraTrees,0.7201346801346802,0.016481816802716195,0.6986531986531986,0.7383838383838384,1.0,0.7249158249158248,0.6254120182555781,0.8262292505996345,0.694849199493109,0.21978652389116776,0.12077990223873247,0.014509508546978116,1.910499135569927,True,0.6675,0.5087923351158645,0.8043780193236715,0.5674783885158853,0.23002579451523383,0.06580774202500639,locked_primary_external_validation,True
RidgeLogistic,0.7192592592592593,0.015877482718669934,0.7023569023569024,0.7353535353535353,1.0,0.7202020202020202,0.6145844687578967,0.8153691286288719,0.7222980997635664,0.2229125934210746,0.10827457157044185,-0.0049650709392667055,2.0810437559054993,False,0.6525000000000001,0.5,0.8066502463054187,0.574255674950499,0.236394568211226,0.03994255985215822,descriptive,False
ElasticNetLogistic,0.7060606060606059,0.017629405847236934,0.6838383838383837,0.7306397306397306,1.0,0.711111111111111,0.6061336659358971,0.8113635122484005,0.7234575670882654,0.21599216195133095,0.1359586275610225,-0.013262025071852257,0.9562082602452466,False,0.6575000000000001,0.5127173184398248,0.8061889730639731,0.5756174327334385,0.2298788210819083,0.06640463788109974,descriptive,False
LightGBM,0.7049831649831649,0.016875624426072804,0.6853535353535354,0.7313131313131314,1.0,0.7356902356902357,0.6366811333675741,0.8333390528483184,0.6928960330630872,0.21281043621936807,0.14868660177699922,0.03819713188211265,0.7297169106990757,False,0.63625,0.49550391412603684,0.7756463208128078,0.5364565627810377,0.26106507545616686,-0.0602505376963578,descriptive,False
XGBoost,0.7031986531986532,0.008256884995322471,0.6966329966329966,0.717003367003367,1.0,0.7151515151515151,0.6114776106989503,0.8158386595061125,0.7005834579278556,0.21461773153052205,0.14145681201544358,0.03849375894000408,0.8526317425223036,False,0.6625000000000001,0.515988393790118,0.811872481205921,0.5594495971614395,0.24607832286512607,0.0006144112640065202,descriptive,False
RandomForest,0.6995286195286196,0.014615664817657198,0.6787878787878788,0.7161616161616162,1.0,0.7205387205387205,0.615924834193073,0.8219336219336218,0.7002283211987539,0.21630946254862743,0.13468931833661857,0.022413140056642054,0.9357009031482578,False,0.65,0.5036290322580645,0.7844172637707121,0.5497085498398286,0.23673802792746362,0.038547684079588196,descriptive,False
CatBoost,0.6874074074074075,0.0236009884252705,0.6616161616161617,0.7185185185185186,1.0,0.7131313131313131,0.6098627141316376,0.8090928474510564,0.673379609579469,0.22365822087270848,0.10529181071089233,0.028346332792746017,0.5773062667084717,False,0.6375,0.48762512512512507,0.7800869091597992,0.5162096919077106,0.26906566328898424,-0.09274292503238746,descriptive,False
HistGradientBoosting,0.6853198653198653,0.033206275888462165,0.6565656565656566,0.735016835016835,1.0,0.7175084175084174,0.6172378766478344,0.8163769024338785,0.6853123856949116,0.21910687581526195,0.12349872338009171,0.04236736791081347,0.6818074362878921,False,0.638125,0.49808808127356513,0.7849708724069336,0.5409636572499485,0.25905559303350156,-0.05208952720730853,descriptive,False
SVM_RBF,0.6672390572390572,0.05015755877880605,0.6077441077441078,0.7124579124579125,1.0,0.7101010101010101,0.6104994465358226,0.8056351078167115,0.715442554201332,0.22157625022902416,0.11362039428584636,0.015681024323318284,1.6212804359690534,False,0.67625,0.5224687499999999,0.814875016642258,0.5988761229833627,0.22038907704991514,0.10494486083103194,descriptive,False
