shot_size,prompt_replicates,development_inference,n_evaluable_min,n_evaluable_max,auroc_mean,auroc_prompt_sd,auroc_min,auroc_max,auprc_mean,auprc_prompt_sd,auprc_min,auprc_max,brier_mean,brier_prompt_sd,brier_min,brier_max,log_loss_mean,log_loss_prompt_sd,log_loss_min,log_loss_max,accuracy_mean,accuracy_prompt_sd,accuracy_min,accuracy_max,sensitivity_mean,sensitivity_prompt_sd,sensitivity_min,sensitivity_max,specificity_mean,specificity_prompt_sd,specificity_min,specificity_max
0,1,exploratory_non_demo_subset,109,109,0.5,0.0,0.5,0.5,0.5045871559633027,0.0,0.5045871559633027,0.5045871559633027,0.25,0.0,0.25,0.25,0.6931471805599454,0.0,0.6931471805599454,0.6931471805599454,0.5045871559633027,0.0,0.5045871559633027,0.5045871559633027,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,20,exploratory_non_demo_subset,105,105,0.6159923802612483,0.1604467462247342,0.2677793904208999,0.7612481857764877,0.6445856018002217,0.125036680945931,0.3937334080994608,0.7756771389716572,0.3001061357142857,0.0850631912270266,0.2195983333333333,0.5382190476190477,1.1357683926862516,0.6360914036753985,0.6283277437370645,3.2086592962382627,0.5666666666666667,0.107149818765758,0.3333333333333333,0.6761904761904762,0.4820754716981132,0.1935299995113753,0.1132075471698113,0.8301886792452831,0.6528846153846153,0.2161779598116217,0.25,0.9807692307692308
8,20,exploratory_non_demo_subset,101,101,0.6241764705882351,0.1540593678952291,0.1758823529411764,0.7509803921568627,0.6566697165112162,0.1195366143775538,0.3554381716543566,0.7722004654356167,0.2712985767326733,0.0731273589715754,0.2137960396039603,0.5257597227722772,0.8095323418247045,0.2416780541832895,0.6177940791483465,1.5653287361558197,0.5782178217821782,0.1083837734332491,0.2871287128712871,0.693069306930693,0.546078431372549,0.1490949513514962,0.3333333333333333,0.7647058823529411,0.611,0.2040098036859993,0.08,0.98
10,20,exploratory_non_demo_subset,99,99,0.6690816326530612,0.0611291595813425,0.5451020408163265,0.7542857142857143,0.677392587818812,0.0608069084799041,0.5746157958304834,0.7687378887274591,0.256945298989899,0.0202428173008619,0.2125353535353535,0.2882677676767676,0.8113845601211122,0.1978139934226421,0.6319748113224222,1.4653660664354415,0.6101010101010103,0.0561349134672904,0.494949494949495,0.696969696969697,0.5700000000000001,0.1687726592973986,0.26,0.86,0.6510204081632652,0.1923479715745221,0.2857142857142857,0.8775510204081632
20,20,exploratory_non_demo_subset,89,89,0.7127020202020203,0.031809752644993,0.6338383838383839,0.7540404040404041,0.7207559426809846,0.0345483896219949,0.6691365547022289,0.7891520970094069,0.2293556696629213,0.023530464553495,0.2001908651685393,0.2895682584269662,0.7005580152402416,0.1286459658757567,0.5853663353119289,1.031393956183985,0.6612359550561797,0.0408019008738282,0.550561797752809,0.7078651685393258,0.6233333333333333,0.0965889988448775,0.4,0.8,0.7,0.0778964414423835,0.5227272727272727,0.8181818181818182
40,20,exploratory_non_demo_subset,69,69,0.7047689075630251,0.0816033221490764,0.3978991596638655,0.807563025210084,0.7135548464907597,0.0754602716777888,0.4389451556869322,0.7987167000779076,0.2255674347826087,0.0230679888455671,0.1841666666666666,0.294055072463768,0.6517348179958212,0.0574449306088371,0.5480115553883855,0.7913553160385314,0.6463768115942028,0.0624508562138789,0.4492753623188406,0.7391304347826086,0.5914285714285714,0.0963791296250515,0.4571428571428571,0.7428571428571429,0.7029411764705884,0.1083392286008791,0.3823529411764705,0.8823529411764706
80,20,exploratory_non_demo_subset,29,29,0.7220238095238096,0.0779246371507023,0.5595238095238095,0.8476190476190476,0.7575980412303804,0.0725049241821235,0.6233864845244156,0.8735811900517783,0.2240565568965517,0.0369235072870746,0.1729068275862069,0.3075344827586206,0.6509369395042895,0.1054867750909433,0.5115739180348967,0.9342153817382292,0.6775862068965519,0.0625660674650999,0.5517241379310345,0.7586206896551724,0.6299999999999999,0.1133746054881367,0.4,0.8,0.7285714285714285,0.0944200455696276,0.5714285714285714,0.9285714285714286
109,1,exploratory_non_demo_subset,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
