model,mean_repeat_OOF_AUC,sd_repeat_OOF_AUC,min_repeat_OOF_AUC,max_repeat_OOF_AUC,proportion_repeats_AUC_above_0_5,averaged_repeated_OOF_AUC,averaged_repeated_OOF_AUC_95CI_low,averaged_repeated_OOF_AUC_95CI_high,averaged_repeated_OOF_PR_AUC,averaged_repeated_OOF_Brier,averaged_repeated_OOF_Brier_skill,calibration_intercept,calibration_slope,panel
ExtraTrees,0.7201346801346802,0.0164818168027161,0.6986531986531986,0.7383838383838384,1.0,0.7249158249158248,0.6254120182555781,0.8262292505996345,0.694849199493109,0.2197865238911677,0.1207799022387324,0.0145095085469781,1.910499135569927,a
RidgeLogistic,0.7192592592592593,0.0158774827186699,0.7023569023569024,0.7353535353535353,1.0,0.7202020202020202,0.6145844687578967,0.8153691286288719,0.7222980997635664,0.2229125934210746,0.1082745715704418,-0.0049650709392667,2.0810437559054997,a
ElasticNetLogistic,0.7060606060606059,0.0176294058472369,0.6838383838383837,0.7306397306397306,1.0,0.711111111111111,0.6061336659358971,0.8113635122484005,0.7234575670882654,0.2159921619513309,0.1359586275610225,-0.0132620250718522,0.9562082602452466,a
LightGBM,0.7049831649831649,0.0168756244260728,0.6853535353535354,0.7313131313131314,1.0,0.7356902356902357,0.6366811333675741,0.8333390528483184,0.6928960330630872,0.212810436219368,0.1486866017769992,0.0381971318821126,0.7297169106990757,a
XGBoost,0.7031986531986532,0.0082568849953224,0.6966329966329966,0.717003367003367,1.0,0.7151515151515151,0.6114776106989503,0.8158386595061125,0.7005834579278556,0.214617731530522,0.1414568120154435,0.038493758940004,0.8526317425223036,a
RandomForest,0.6995286195286196,0.0146156648176571,0.6787878787878788,0.7161616161616162,1.0,0.7205387205387205,0.615924834193073,0.8219336219336218,0.7002283211987539,0.2163094625486274,0.1346893183366185,0.022413140056642,0.9357009031482578,a
CatBoost,0.6874074074074075,0.0236009884252705,0.6616161616161617,0.7185185185185186,1.0,0.7131313131313131,0.6098627141316376,0.8090928474510564,0.673379609579469,0.2236582208727084,0.1052918107108923,0.028346332792746,0.5773062667084717,a
HistGradientBoosting,0.6853198653198653,0.0332062758884621,0.6565656565656566,0.735016835016835,1.0,0.7175084175084174,0.6172378766478344,0.8163769024338785,0.6853123856949116,0.2191068758152619,0.1234987233800917,0.0423673679108134,0.6818074362878921,a
SVM_RBF,0.6672390572390572,0.050157558778806,0.6077441077441078,0.7124579124579125,1.0,0.7101010101010101,0.6104994465358226,0.8056351078167115,0.715442554201332,0.2215762502290241,0.1136203942858463,0.0156810243233182,1.6212804359690534,a
