bin,n,events,mean_predicted_probability,observed_mpr_proportion,wilson_95ci_low,wilson_95ci_high,panel
1,12,2,0.3659526419894073,0.16666666666666666,0.04696514218385378,0.4480308622529734,d
2,11,5,0.42600737684399026,0.45454545454545453,0.21271271622459764,0.719908462590678,d
3,11,4,0.46850172374780497,0.36363636363636365,0.15166471095367573,0.6461988254921511,d
4,11,6,0.5719855173571559,0.5454545454545454,0.280091537409322,0.7872872837754024,d
5,12,8,0.6583175577874295,0.6666666666666666,0.39062208887279953,0.8618799089087867,d
